prefix_len,encoding,attribute,group,group_n,metric,disparity,violation_80pct,severity,harm_dir,small_support
10,complex,age_group,30-44,164,FDR,0.2816780821917808,True,severe,lower,False
10,complex,german_speaking_cat,F,234,FDR,2.3242574257425743,True,severe,higher,False
10,complex,Act3,A03,281,FOR,2.6444444444444444,True,severe,higher,False
10,complex,Act4,A11,281,FOR,2.6444444444444444,True,severe,higher,False
10,complex,Act6,A02,68,FOR,0.0,True,severe,lower,False
10,complex,Act6,A09,122,FOR,1.59375,True,severe,higher,False
10,complex,Act7,A02,114,FOR,1.6,True,severe,higher,False
10,complex,Act7,A09,187,FOR,1.4545454545454546,True,high,higher,False
10,complex,Act8,A02,65,FOR,10.0,True,severe,higher,False
10,complex,Act8,A07,109,FOR,10.0,True,severe,higher,False
10,complex,Act8,A09,97,FOR,10.0,True,severe,higher,False
10,complex,Act9,A01,198,FOR,0.0839999999999999,True,severe,lower,False
10,complex,Act9,A02,13,FOR,0.7,True,high,lower,True
10,complex,Act9,A07,10,FOR,0.0,True,severe,lower,True
10,complex,Act9,A09,16,FOR,0.4666666666666666,True,severe,lower,True
10,complex,Res2,HR-pro,167,FOR,1.4666666666666668,True,high,higher,False
10,complex,Res3,HR-pro,105,FOR,2.857142857142857,True,severe,higher,False
10,complex,Res3,Senior Partner,189,FOR,1.894736842105263,True,severe,higher,False
10,complex,Res4,HR-pro,109,FOR,2.0,True,severe,higher,False
10,complex,Res4,Senior Partner,196,FOR,3.75,True,severe,higher,False
10,complex,Res5,HR-pro,61,FOR,1.3684210526315788,True,high,higher,False
10,complex,Res8,HR-dummy,26,FOR,0.0,True,severe,lower,True
10,complex,Res8,HR-pro and Senior Partner,222,FOR,0.0,True,severe,lower,False
10,complex,Res8,Senior Partner,60,FOR,0.0,True,severe,lower,False
10,complex,Res9,Coding Interviewer,39,FOR,0.3999999999999999,True,severe,lower,False
10,complex,Res9,HR-dummy,82,FOR,0.1272727272727272,True,severe,lower,False
10,complex,Res9,Senior Partner,116,FOR,0.0499999999999999,True,severe,lower,False
10,complex,gender_cat,F,250,FOR,1.4,True,high,higher,False
10,complex,citizen_cat,F,229,FOR,1.2857142857142856,True,high,higher,False
10,complex,age_group,30-44,164,FOR,1.3333333333333333,True,high,higher,False
10,complex,age_group,65+,44,FOR,0.0,True,severe,lower,False
10,complex,german_speaking_cat,F,234,FOR,2.333333333333333,True,severe,higher,False
10,complex,Act5,A06,207,FPR,0.6533333333333334,True,high,lower,False
10,complex,Act6,A02,68,FPR,2.857142857142857,True,severe,higher,False
10,complex,Act6,A09,122,FPR,0.0,True,severe,lower,False
10,complex,Act7,A02,114,FPR,0.5,True,severe,lower,False
10,complex,Act7,A09,187,FPR,0.2368421052631578,True,severe,lower,False
10,complex,Act8,A02,65,FPR,10.0,True,severe,higher,False
10,complex,Act8,A07,109,FPR,10.0,True,severe,higher,False
10,complex,Act8,A09,97,FPR,10.0,True,severe,higher,False
10,complex,Act9,A01,198,FPR,0.2592592592592592,True,severe,lower,False
10,complex,Act9,A07,10,FPR,0.0,True,severe,lower,True
10,complex,Act9,A09,16,FPR,0.0,True,severe,lower,True
10,complex,Res2,HR-pro,167,FPR,1.4666666666666668,True,high,higher,False
10,complex,Res3,HR-pro,105,FPR,0.0,True,severe,lower,False
10,complex,Res4,HR-pro,109,FPR,2.7692307692307696,True,severe,higher,False
10,complex,Res4,Senior Partner,196,FPR,3.2,True,severe,higher,False
10,complex,Res5,HR-pro,61,FPR,0.5490196078431373,True,high,lower,False
10,complex,Res5,deepResearch Inc.,146,FPR,0.7070707070707072,True,high,lower,False
10,complex,Res8,HR-dummy,26,FPR,0.0,True,severe,lower,True
10,complex,Res8,HR-pro and Senior Partner,222,FPR,0.0,True,severe,lower,False
10,complex,Res8,Senior Partner,60,FPR,0.0,True,severe,lower,False
10,complex,Res9,Coding Interviewer,39,FPR,0.3333333333333333,True,severe,lower,False
10,complex,Res9,HR-dummy,82,FPR,0.3333333333333333,True,severe,lower,False
10,complex,Res9,Senior Partner,116,FPR,0.2,True,severe,lower,False
10,complex,gender_cat,F,250,FPR,0.2071428571428571,True,severe,lower,False
10,complex,citizen_cat,F,229,FPR,0.6263736263736265,True,high,lower,False
10,complex,age_group,30-44,164,FPR,0.3166666666666667,True,severe,lower,False
10,complex,age_group,65+,44,FPR,0.4318181818181819,True,severe,lower,False
10,complex,german_speaking_cat,F,234,FPR,1.596774193548387,True,severe,higher,False
10,complex,religious_cat,F,252,FPR,0.588235294117647,True,high,lower,False
10,complex,Act3,A03,281,FNR,2.3976377952755907,True,severe,higher,False
10,complex,Act4,A11,281,FNR,2.3976377952755907,True,severe,higher,False
10,complex,Act5,A06,207,FNR,9.121019108280256,True,severe,higher,False
