model_id,score_threshold,k,attribute_name,attribute_value,tpr,tnr,for,fdr,fpr,fnr,npv,precision,pp,pn,ppr,pprev,fp,fn,tn,tp,group_label_pos,group_label_neg,group_size,total_entities,prev,ppr_disparity,pprev_disparity,precision_disparity,fdr_disparity,for_disparity,fpr_disparity,fnr_disparity,tpr_disparity,tnr_disparity,npv_disparity,ppr_ref_group_value,pprev_ref_group_value,precision_ref_group_value,fdr_ref_group_value,for_ref_group_value,fpr_ref_group_value,fnr_ref_group_value,tpr_ref_group_value,tnr_ref_group_value,npv_ref_group_value
0,binary 0/1,890,Act1,A08,0.9050736497545008,0.6891143911439115,0.07204968944099378,0.37865168539325844,0.31088560885608857,0.09492635024549918,0.9279503105590062,0.6213483146067416,890,805,1.0,0.5250737463126843,337,58,747,553,611,1084,1695,1695,0.36047197640117995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,A08,A08,A08,A08,A08,A08,A08,A08,A08,A08
0,binary 0/1,890,Act2,A12,0.9050736497545008,0.6891143911439115,0.07204968944099378,0.37865168539325844,0.31088560885608857,0.09492635024549918,0.9279503105590062,0.6213483146067416,890,805,1.0,0.5250737463126843,337,58,747,553,611,1084,1695,1695,0.36047197640117995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,A12,A12,A12,A12,A12,A12,A12,A12,A12,A12
0,binary 0/1,890,Act3,A03,0.9152542372881356,0.6818980667838312,0.06053268765133172,0.401330376940133,0.3181019332161687,0.0847457627118644,0.9394673123486683,0.5986696230598669,451,413,0.5067415730337078,0.5219907407407407,181,25,388,270,295,569,864,1695,0.3414351851851852,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,A03,A03,A03,A03,A03,A03,A03,A03,A03,A03
0,binary 0/1,890,Act3,A11,0.8955696202531646,0.6970873786407767,0.08418367346938775,0.3553530751708428,0.3029126213592233,0.10443037974683544,0.9158163265306123,0.6446469248291572,439,392,0.49325842696629213,0.5282791817087846,156,33,359,283,316,515,831,1695,0.3802647412755716,0.9733924611973394,1.0120470354687139,1.0767991225849998,0.8854377729395034,1.3907142857142856,0.9522501743281662,1.2322784810126584,0.9784927332395686,1.0222750475427886,0.9748251104565537,A03,A03,A03,A03,A03,A03,A03,A03,A03,A03
0,binary 0/1,890,Act4,A03,0.8955696202531646,0.6970873786407767,0.08418367346938775,0.3553530751708428,0.3029126213592233,0.10443037974683544,0.9158163265306123,0.6446469248291572,439,392,0.49325842696629213,0.5282791817087846,156,33,359,283,316,515,831,1695,0.3802647412755716,0.9733924611973394,1.0120470354687139,1.0767991225849998,0.8854377729395034,1.3907142857142856,0.9522501743281662,1.2322784810126584,0.9784927332395686,1.0222750475427886,0.9748251104565537,A11,A11,A11,A11,A11,A11,A11,A11,A11,A11
0,binary 0/1,890,Act4,A11,0.9152542372881356,0.6818980667838312,0.06053268765133172,0.401330376940133,0.3181019332161687,0.0847457627118644,0.9394673123486683,0.5986696230598669,451,413,0.5067415730337078,0.5219907407407407,181,25,388,270,295,569,864,1695,0.3414351851851852,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,A11,A11,A11,A11,A11,A11,A11,A11,A11,A11
0,binary 0/1,890,Act5,A01,,1.0,0.0,,0.0,,1.0,,0,577,0.0,0.0,0,0,577,0,0,577,577,1695,0.0,0.0,0.0,,,,0.0,,,10.0,,A05,A05,A05,A05,A05,A05,A05,A05,A05,A05
0,binary 0/1,890,Act5,A05,1.0,0.0,,0.297339593114241,1.0,0.0,,0.702660406885759,639,0,0.7179775280898877,1.0,190,0,0,449,449,190,639,1695,0.702660406885759,1.0,1.0,1.0,1.0,,1.0,,1.0,,,A05,A05,A05,A05,A05,A05,A05,A05,A05,A05
0,binary 0/1,890,Act5,A06,0.6419753086419753,0.5362776025236593,0.2543859649122807,0.5856573705179283,0.4637223974763407,0.35802469135802467,0.7456140350877193,0.41434262948207173,251,228,0.28202247191011237,0.524008350730689,147,58,170,104,162,317,479,1695,0.33820459290187893,0.39280125195618154,0.524008350730689,0.5896769270357324,1.9696582092681905,,0.4637223974763407,10.0,0.6419753086419753,10.0,,A05,A05,A05,A05,A05,A05,A05,A05,A05,A05
0,binary 0/1,890,Res1,Front Desk,0.9425675675675675,0.6405109489051095,0.04619565217391304,0.41386554621848737,0.3594890510948905,0.057432432432432436,0.9538043478260869,0.5861344537815126,476,368,0.5348314606741573,0.5639810426540285,197,17,351,279,296,548,844,1695,0.35071090047393366,1.1497584541062802,1.159294365455503,0.8856192111881248,1.2238595438175268,0.49237804878048774,1.3763295099061523,0.4412491760052736,1.0836086999408168,0.8669542136695422,1.0525568181818181,Online System,Online System,Online System,Online System,Online System,Online System,Online System,Online System,Online System,Online System
